tree;stofn;species;diam1;diam2;height_measured
1;1;RG;5;5,1;
2;2;RG;14,7;14,6;8,38
3;3;RG;12,7;13,4;
4;4;RG;13,2;13,8;8,66
5;5;RG;4,5;4,7;
6;6;RG;10,3;10,8;
7;7;RG;5;4;4,65
8;8;RG;12;12;
9;9;RG;11;11,3;
10;10;RG;4,5;4;
11;11;RG;8,5;8,2;
12;12;RG;9,8;9,9;
13;13;RG;11,2;11,5;7,52
14;14;RG;11,6;11,3;
15;15;RG;6,4;6,4;
16;16;RG;7,2;6,7;
17;17;RG;9;8,7;
18;18;RG;9,2;9,2;
19;19;RG;7,5;7,3;
20;20;RG;11,8;11,6;
21;21;RG;8,2;8,7;
22;22;RG;11,9;11,8;
23;23;RG;8,7;8;
24;24;RG;8,2;8,2;